ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,FcwID0,FcwId1,FcwId2,FcwTTc,FcwPet,ObdCarYawRate,DaiShiYawRate,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,AgcSw,AgcType,DbfMag,FrameIntervalTime,installAngleOffset,ObjLength,ObjWidth,x rms,y rms,vx rms,vy rms,ax rms,ay rms,A rms,MeasCounter,MAtr,AccX,AccY,AccZ,errorCode
START,FrameNb:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/07/01 17:27:33:897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,40.4,-9.8,18,16,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,169,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
37,48.2,-9.8,-14,16,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,177,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
38,49.8,-9.8,-13,17,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,168,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
39,53,-9.8,-13,18,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,178,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
40,53.4,39.6,17,9,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,150,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
41,66.8,-9.8,-12,2,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,137,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
42,31.2,-9.6,22,13,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,162,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
43,40.2,-9.6,-19,16,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,166,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
44,42.6,-9.6,-16,17,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,178,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
45,43.2,-9.6,-16,17,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,32767,0,0,0,0,176,52,-1,0,0,0,0,0,0,0,0,0,13212,0,0,0,0,101/102
