START,FrameNb:5000,,,
END,Total:56,,,
START,FrameNb:5418,,,
2020/08/09 14:15:58:130,,,,
1.60E+12,,,,
0,13.6,-10.4,-15,19
1,17,3.2,10.75,20
2,17,-10.6,-10.25,8
3,19.6,0.2,0.25,20
4,27.2,0.2,0,20
5,27.2,0.2,8,18
6,30.8,-10.8,-4.5,15
7,30.8,-10.8,2.75,13
8,38.4,0.6,2.25,9
9,41.8,0.6,6,9
10,41.8,0.6,-1.5,8
11,55.4,1.2,-2,11
12,55.4,1.2,-8.25,13
13,61.4,7,-7.5,0
14,61.6,-10.6,8.75,18
15,62.2,0,-0.25,5
16,66.6,-10.6,7.5,15
17,76,0,1.75,7
18,81.8,5.6,-9.75,16
19,85.4,0,3.5,14
20,93.2,-10.6,8.75,12
21,106.8,-10.4,16.75,13
22,117.8,2,-1.25,15
23,141.8,-10.6,10,11
24,148.6,-10.6,9.25,8
25,193,-10.6,9.75,14
26,195.6,-10.6,8.75,11
27,200.8,-10.6,9.25,17
28,1024,-10.6,-7,12
29,11.4,-10.4,-13.25,14
30,13,-10.4,-14,14
31,14.6,-7.8,46,12
32,17,-10.6,-9.25,12
33,17.4,3.2,13.25,14
34,18.4,3.2,14.25,13
35,19.2,3.2,12.5,1
36,19.2,0.2,1,15
37,20.6,0.2,2,15
38,22.2,0.2,1.5,15
39,24.2,-10.6,-5,12
40,26,6.2,-37.25,10
41,27.4,0.2,2.75,14
42,31.4,-10.6,-2,11
43,38.2,-10.4,19.25,14
44,39.4,0.6,2.25,13
45,48.4,1.2,-4,6
46,48.4,-10.8,-1.25,13
47,50,1.2,-3,12
48,53.2,1.2,-2.75,13
49,58.2,4,-12,13
50,60.4,-9.2,34.5,13
51,61.6,-10.6,9.5,14
52,61.6,7,-6.75,14
53,62.4,0,0.5,12
54,66.4,-10.6,7,13
55,78.8,0,4.75,14
56,82.2,5.6,-10.25,13
END,Total:57,,,
START,FrameNb:5419,,,
2020/08/09 14:15:58:191,,,,
1.60E+12,,,,
0,12,-10.4,-17,19
1,16.2,-10.6,-10.25,11
2,16.2,-10.6,-2.25,10
3,19.6,0.2,5.5,19
4,19.6,0.2,0,19
5,24,-10.6,-8.75,7
6,24,-10.6,0.25,5
7,27.2,0.2,-0.25,18
8,27.2,0.2,3.75,16
9,30,-10.8,-4.25,16
10,30,-10.8,2.5,15
11,32.4,5,-16.75,9
12,41,0.6,-0.5,15
13,41,0.6,5,14
14,48.6,1.2,-6.25,16
15,58.8,4,-12.5,19
16,61.4,7,-7.5,0
17,62.2,0,-0.25,5
18,66.6,-10.8,7.5,15
19,76,0,1.75,7
20,78.6,0,4.75,16
21,80.4,-10.6,7.75,10
22,81.8,5.6,-9.75,16
23,85.4,-0.2,3.5,14
24,100.6,-24.8,-7.5,7
25,106.8,-10.4,16.75,13
26,117.8,2,-1.25,15
27,125.4,11.4,4.75,10
28,141.8,-10.6,10,11
29,148.6,-10.6,9.25,8
30,188.8,-10.6,9.75,11
31,193,-10.6,9.75,14
32,195.6,-10.6,8.75,11
33,200.8,-10.6,9.25,17
34,1024,3.2,14.25,13
35,12,-10.4,-13.75,15
36,14.2,-7.8,48,13
37,15.6,-10.6,-9,11
38,17.6,3.2,12.5,14
39,19.2,0.2,1.75,15
40,20.6,0.2,1.75,15
41,22,0.2,1.75,15
42,20.8,3.2,11.25,0
43,23.6,-10.6,-5.75,4
44,26,0.2,3,12
45,26.4,6.2,-36.25,10
46,30.6,-10.6,-2,12
47,33.8,4.8,-14.75,12
48,37.6,-10.4,19.5,15
49,39.4,0.6,1.75,10
50,48,1.2,-2.25,11
51,48.6,1.2,-3.5,13
52,49.2,1,-6,12
53,54.2,1.2,-3.25,14
54,58.6,4,-11,13
55,59.8,-9.2,35,13
56,60.8,-10.6,9,14
57,62,7,-7,13
58,79,-0.2,5,12
59,78.4,-10,26,12
60,82.6,5.6,-9.5,12
61,104.6,-10.4,18.5,12
END,Total:62,,,
START,FrameNb:5420,,,
2020/08/09 14:15:58:257,,,,
1.60E+12,,,,
0,12,-10.4,-17,19
1,16.2,-10.6,-10.25,11
2,16.2,-10.6,-2.25,10
3,19.6,0.2,5.5,19
4,19.6,0.2,0,19
5,27.2,0.2,-0.25,18
6,27.2,0.2,3.75,16
7,29.8,0.2,8.75,11
8,29.8,0.2,-0.5,10
9,30,-10.8,-4.25,16
10,30,-10.8,2.5,15
11,36.8,-10.8,-3.75,11
12,40.2,-10.8,-4.5,19
13,40.2,-10.8,2.75,17
14,41,0.6,-0.5,15
15,41,0.6,5,14
16,42.6,-1.2,4.25,17
17,42.6,-1.2,12,16
18,48.6,1.2,-6.25,16
19,58.8,4,-12.5,19
20,60.6,-10.6,8.75,18
21,62.2,7,-6,8
22,62.2,0,6,5
23,65,-10.8,7.75,16
24,65,-10.4,17.25,5
25,78.6,-0.2,5.75,13
26,80.4,-10.6,9.25,11
27,80.2,0,4.75,15
28,82.8,5.6,-8.75,14
29,86.2,-0.2,3.75,13
30,99.8,1.6,-0.75,10
31,105,-10.4,19.5,13
32,117.8,2,-0.75,15
33,141,-10.6,11,10
34,149.4,-10.6,8.25,9
35,187,-10.6,11,10
36,191.4,-10.6,8.75,12
37,194,-10.6,9.75,8
38,199.8,-10.6,9.75,17
39,1024,0.2,1.75,15
40,11.6,-10.4,-15.75,15
41,13.6,-10.6,-7.75,14
42,13.8,-7.4,51.75,13
43,15.2,-10.6,-8.25,13
44,17.8,3.2,12.75,15
45,18.8,0.2,2,15
46,19.8,0.2,1.75,14
47,21,3.2,11.25,1
48,20.4,0.2,2.75,15
49,21,0.2,1.75,15
50,22.6,0.2,2.25,15
51,23.4,0.2,4,14
52,23,-10.6,-6,10
53,24.2,0.2,2.75,14
54,24.8,0.2,1.75,15
55,26,0.2,1.5,12
56,27.2,0.2,1.75,13
57,26.6,6.2,-35.5,12
58,28.4,0.2,2.5,14
59,30,-10.6,-3,10
60,32.8,4.8,-14,10
61,36.8,-10.4,19.75,14
62,39.6,-10.6,-2.25,10
63,39.2,0.6,1.25,13
64,42.6,-1.4,5.75,13
65,48.2,1.2,-3.25,14
66,49,1.2,-6,15
67,50.6,1,-4.75,12
68,53.4,1.2,-3.5,13
69,58.8,4,-10.5,12
70,59.4,-9.2,35.5,10
71,60.2,-10.6,8.5,15
72,78.4,-0.2,4.75,13
73,79,-10,25.25,14
74,106,-10.6,-8.75,11
END,Total:75,,,
START,FrameNb:5421,,,
2020/08/09 14:15:58:314,,,,
1.60E+12,,,,
0,11.2,-10.2,-20.25,18
1,11.2,-10.2,-12.75,17
2,18.6,3.2,10.5,5
3,19.6,0.2,0,20
4,23,0.2,-0.75,18
5,23,0.2,3.25,16
6,28.2,0.2,0.5,18
7,28.2,-10.8,-4,4
8,35.8,-10.2,18.5,18
9,39.2,0.6,0,19
10,39.2,0.6,6.75,18
11,39.4,-10.8,-4.5,7
12,43.4,1,9.25,14
13,48.6,1.2,-8,17
14,48.6,1.2,0,16
15,51.2,1.2,-6.25,18
16,53.8,1.2,-6.25,19
17,58.8,4,-13,12
18,58.8,4,-7,10
19,59.8,-10.6,7.25,19
20,59.8,-10.6,13.25,17
21,60.6,-10.6,8.75,18
22,62.2,7,-6,8
23,62.2,0,6,5
24,65,-10.8,7.75,16
25,65,-10.4,17.25,5
26,71,-9.6,51.5,10
27,78.6,-0.2,5.75,13
28,80.4,-10.6,9.25,11
29,80.2,-0.2,4.75,15
30,82.8,5.6,-8.75,14
31,90.6,-10.8,8.25,14
32,99.8,1.6,-0.75,10
33,104.2,-5.6,-5.25,7
34,105,-10.4,19.5,13
35,117.8,2,-0.75,15
36,141,-10.6,11,10
37,191.2,4.6,0,7
38,191.4,-10.6,8.75,12
39,199.8,-10.6,9.75,17
40,1024,-10.4,-15.75,15
41,11,-10.4,-16.25,15
42,13.4,-7.2,55.75,12
43,13,-10.6,-8.75,9
44,14.4,-10.6,-9,14
45,17.8,3.2,13.25,15
46,19,3.2,12,0
47,19.2,0.2,1.75,15
48,20.2,3.2,10.5,0
49,20.6,0.2,2.25,15
50,21.6,0.2,3.5,15
51,22.2,0.2,0.75,15
52,22.8,0.2,2.25,15
53,27,6.2,-34.75,12
54,26.2,0.2,1.25,15
55,27.6,0.2,2,10
56,29.4,-10.8,-2.75,13
57,33,4.8,-14,12
58,36.2,-10.4,20,14
59,38.6,-10.6,-1,11
60,38.8,0.6,1.75,10
61,42.2,-1.4,6,11
62,43.4,1,13,11
63,48.4,1,-4,12
64,49.2,1.2,-6.75,12
65,50.6,1,-6,14
66,52.2,1,-3.75,13
67,54.2,1,-3,12
68,55,1,-5.75,14
69,58.8,-9,36,14
70,59,3.8,-10.25,10
71,59.6,-10.6,8.25,12
72,78.6,-10,24.75,13
73,78.4,-0.2,4.75,12
END,Total:74,,,
START,FrameNb:5422,,,
2020/08/09 14:15:58:374,,,,
1.60E+12,,,,
0,18.6,3.2,10.5,5
1,19.6,0.2,0,20
2,23,0.2,-0.75,18
3,23,0.2,3.25,16
4,28.2,0.2,0.5,18
5,28.2,-10.8,-4,4
6,39.2,0.6,0,19
7,39.2,0.6,6.75,18
8,41.8,0.6,0.25,10
9,41.8,0.6,5.25,9
10,43.4,1,9.25,14
11,48.6,1.2,-8,17
12,48.6,1.2,0,16
13,58.8,4,-13,12
14,58.8,4,-7,10
15,59.8,-10.6,7.25,19
16,59.8,-10.6,13.25,17
17,64,-10.8,7.75,15
18,69.2,-9.4,55,10
19,78.6,-10.8,7.75,10
20,80.2,-0.2,4.25,14
21,83.6,5.6,-9.25,14
22,90.6,-10.8,7.5,9
23,105,-10.4,-8.75,10
24,117.8,2,-0.25,14
25,191.4,-10.6,8.75,11
26,198.2,-10.6,9.25,17
27,1024,-0.2,5.75,13
28,10.4,-10.4,-17.25,14
29,12.8,-6.8,58,12
30,13.8,-10.6,-9.75,14
31,15,-10.6,-8.5,12
32,18.2,3.2,13.5,15
33,19.4,0.2,1.75,15
34,19.2,3.2,12,0
35,20.6,0.2,1.75,15
36,20.4,3.2,10.5,0
37,22.4,0.2,3.25,15
38,23,0.2,1.75,15
39,23.6,0.2,3.25,15
40,27.6,0.2,2.5,14
41,27.4,6.4,-33.25,1
42,29.6,-10.8,-2.75,13
43,33.4,4.8,-14.75,13
44,35.6,-10.4,20.5,14
45,38.8,0.4,1.75,14
46,39.6,0.4,1.75,12
47,42,-1.4,6.25,9
48,43.4,1,12.75,14
49,48.2,1,-4,14
50,48.8,1.2,-4.75,13
51,53.2,1,-3.5,13
52,54.8,1,-4,14
53,58,-10.6,9.5,10
54,56.2,1,-4,9
55,58.2,-9,36.25,14
56,59.4,3.8,-10.5,13
57,75.4,-9.8,26.75,12
58,78,-10,25.25,14
59,78.8,-0.2,4.75,13
60,105.6,-10.4,18,12
END,Total:61,,,
START,FrameNb:5423,,,
2020/08/09 14:15:58:431,,,,
1.60E+12,,,,
0,19.6,0.2,0,20
1,19.6,0.2,5.5,17
2,28.2,0.2,1,19
3,29,-10.8,-6.75,16
4,29,-10.8,0.75,15
5,34,4.8,-15.25,8
6,34,4.8,-10.75,6
7,39.2,0.4,-0.25,20
8,39.2,0.4,7,18
9,43.4,1,10.75,19
10,45.2,-10.8,-4.5,15
11,45.2,-10.8,3,14
12,48.6,1.2,-7.75,19
13,48.6,1.2,1,17
14,54.6,1.2,-6,18
15,54.6,1.2,1.5,17
16,58.2,-10.8,7.5,20
17,64,-10.8,7.75,15
18,80.2,-0.2,4.25,14
19,83.6,5.8,-9.25,14
20,88,52.6,3.75,8
21,89.6,5,-3,10
22,90.6,-10.8,7.5,9
23,105,-10.6,-8.75,10
24,110.2,-10.4,16,13
25,117.8,2,-0.25,14
26,120.4,2,0,12
27,191.4,-10.6,8.75,11
28,198.2,-10.8,9.25,17
29,1024,-6.8,58,12
30,9.8,-10.2,-19.5,15
31,13.2,-10.6,-9.75,8
32,12.4,-6.4,58.5,12
33,14.2,-10.6,-9.25,13
34,15.4,-10.6,-7.75,11
35,17,-10.6,-6,13
36,18.4,3.2,14.5,12
37,19,0.2,2.25,15
38,19.8,0.2,1.5,15
39,21.4,0.2,2.75,15
40,22.4,0.2,3.5,15
41,23.2,0.2,4.5,15
42,24,0.2,1.25,13
43,27.6,0.2,2.5,15
44,29,-10.8,-3.5,13
45,33.6,4.6,-14.75,14
46,35,-10.4,20.5,14
47,39.4,0.4,1,14
48,40,0.4,1.75,12
49,43.4,1,12.25,14
50,45.2,-10.8,-2,14
51,48.6,1,-5,14
52,49.2,1,-6,12
53,54.4,1,-3.75,10
54,55,1,-4.25,13
55,56.2,1,-4,14
56,56.2,-10.8,9.75,12
57,57.6,-9,36.75,13
58,58.4,-10.8,9,14
59,63.6,-10.6,7.25,13
60,74.8,-9.8,27.25,13
61,77.2,-10,26,13
62,78.4,-0.2,4,9
63,79.6,-0.2,5,12
64,100.6,-10.4,19.75,11
END,Total:65,,,
START,FrameNb:5424,,,
2020/08/09 14:15:58:493,,,,
1.60E+12,,,,
0,19.6,0.2,0,20
1,19.6,0.2,5.5,17
2,20.6,-10.6,-8.5,0
3,20.6,-10.6,-3,0
4,28.2,0.2,1,19
5,29,-10.8,-6.75,16
6,29,-10.8,0.75,15
7,34,4.8,-15.25,8
8,34,4.8,-10.75,6
9,35,-10.2,18.5,17
10,37.6,-10.8,-5.5,17
11,37.6,-10.8,1.25,16
12,39.2,0.4,-0.25,20
13,39.2,0.4,7,18
14,43.4,1,10.75,19
15,45.2,-10.8,-4.5,15
16,45.2,-10.8,3,14
17,48.6,1,-7.75,19
18,48.6,1,1,17
19,54.6,1,-6,18
20,54.6,1,1.5,17
21,58.2,-10.8,7.5,20
22,62.4,-10.8,8.25,17
23,62.2,0,-2,6
24,80.2,-0.2,4.75,16
25,84.4,5.8,-9.75,15
26,86.2,52.6,3.5,7
27,90.4,5,-4,9
28,102.6,-10.4,19,12
29,111,-10.4,16.25,14
30,118.6,1.8,-0.25,15
31,169.8,11.4,5.75,11
32,189.6,-10.8,10,8
33,197.4,-10.8,9.75,17
34,1024,-10.6,-7.75,11
35,9.2,-10,-21.75,15
36,12,-6,60,12
37,12.4,-10.6,-10,15
38,14.6,-10.6,-9.25,9
39,15.6,-10.6,-7.25,11
40,18,5.6,-40.5,10
41,18.6,3.2,14,10
42,19,0.2,2.5,15
43,18.8,5.4,-46,0
44,19.8,0.2,1.75,15
45,20.4,-10.6,-6.25,0
46,21.4,0.2,2.5,15
47,22.4,0.2,2.5,15
48,23.2,0.2,4.25,15
49,24.4,0.2,3.75,13
50,27,0.2,3,12
51,28,0.2,2,15
52,28.4,-10.8,-4,14
53,33.8,4.6,-14.5,14
54,34.4,-10.4,20,2
55,37.2,-10.8,-3,14
56,39.4,0.4,1.25,15
57,40.2,0.4,1.75,13
58,43.6,1,12.5,14
59,44.6,-10.8,-2.25,10
60,49.2,1,-4.75,14
61,50.6,1,-6,12
62,54.4,1,-3.75,14
63,55.6,-10.8,8.75,8
64,55,1,-4.25,13
65,57,-9,37.25,14
66,57.8,-10.8,9,14
67,75.4,-10,26.75,14
68,78,-0.2,4,12
69,79.6,-0.2,5.75,10
END,Total:70,,,
START,FrameNb:5425,,,
2020/08/09 14:15:58:549,,,,
1.60E+12,,,,
0,12.8,-10.6,-10.25,16
1,12.8,-10.6,-3.25,15
2,18.6,3.4,13.75,0
3,18.6,3.4,9.25,0
4,19.6,0.2,0,19
5,19.6,0.2,4.75,17
6,19.6,-10.6,-9,0
7,19.6,-10.6,-3,0
8,22,3.4,8.5,0
9,28.2,0.2,0.25,18
10,33.4,-10.2,19.25,11
11,33.4,-10.2,26.5,9
12,35.8,-10.8,-4.5,15
13,35.8,-10.8,4.5,12
14,39.2,0.4,-0.25,19
15,39.2,0.4,7,18
16,43.4,1,11.5,18
17,43.6,-10.8,-3.5,8
18,48.6,1,-4,15
19,54.6,1,-6.25,18
20,54.6,-10.8,7.75,14
21,62.4,-10.8,8.25,17
22,62.2,0,-2,6
23,76.8,-10.8,7.75,13
24,80.4,-10.8,7,5
25,80.2,-0.2,4.75,16
26,84.6,-10.4,18,7
27,86.2,-0.2,3.5,7
28,90.4,5,-4,9
29,111,-10.4,16.25,14
30,118.6,1.8,-0.25,15
31,197.4,-10.8,9.75,17
32,1024,-10.8,10,8
33,8.6,-10,-23.75,14
34,12,-10.6,-10.5,13
35,14.6,-10.6,-8,12
36,18.8,3.2,12.25,5
37,19,0.2,2.25,15
38,18.8,5.6,-42,0
39,17.8,-10.6,-6.75,3
40,20.6,3.2,13.5,0
41,19.8,0.2,2.25,15
42,20.6,3.2,10.25,0
43,21.4,0.2,2.5,15
44,22.8,0.2,3,15
45,24,0.2,5,14
46,25,0.2,3.75,13
47,26.6,0.2,3.5,13
48,27.8,-10.6,-3.5,12
49,27.6,0.2,2.25,15
50,28.4,0.2,2.75,11
51,33.8,-10.4,21.25,12
52,34,4.6,-14,10
53,36.4,-10.8,-2.5,14
54,39.4,0.4,1.5,13
55,40.2,0.4,2,13
56,42,-1.4,6.75,10
57,43.6,1,12.75,12
58,44,-10.8,-2.5,7
59,49.2,1,-4,13
60,50.4,1,-4,12
61,53.2,1,-3.25,13
62,54.8,1,-4.5,14
63,55,-10.8,8.75,12
64,56.6,-9,37.25,11
65,57.2,-10.8,9,14
66,60,3.8,-11.5,10
67,76,-10,26.5,13
68,78,-0.2,3.75,10
69,79.2,-0.2,5,10
70,84.8,5.8,-9.25,12
END,Total:71,,,
START,FrameNb:5426,,,
2020/08/09 14:15:58:610,,,,
1.60E+12,,,,
0,9.4,-10.4,-13.5,18
1,12.8,-10.6,-10.25,16
2,12.8,-10.6,-3.25,15
3,18.6,3.4,13.75,0
4,18.6,3.4,9.25,0
5,19.6,0.2,0,19
6,19.6,0.2,4.75,17
7,19.6,-10.6,-9,0
8,19.6,-10.6,-3,0
9,28.2,0.2,0.25,18
10,39.2,0.4,-0.25,19
11,39.2,0.4,7,18
12,43.4,1,11.5,18
13,48.6,1,-4,15
14,50.4,1,-5.5,15
15,54.6,1,-6.25,18
16,54.6,-10.8,7.75,14
17,57.2,-10.8,7.5,20
18,57.2,-10.8,13.25,17
19,60.6,3.8,-10,12
20,61.6,-10.8,7.75,8
21,63.2,0,1.25,10
22,76,-10.8,8.25,15
23,76.8,0,2.5,10
24,77.8,-12.6,4.25,7
25,78.6,-10.8,7.5,11
26,80.2,-0.2,4.75,17
27,91.2,5,8.75,8
28,100.6,1.6,-2,9
29,106.8,-10.4,17.75,13
30,117,1.8,0.75,10
31,118.6,2,-1.25,13
32,195.6,-10.8,9.75,17
33,1024,-10,-23.75,14
34,8,-9.8,-25,14
35,11.4,-5.2,69.25,6
36,11.4,-10.6,-12,14
37,12.4,-10.6,-10,12
38,19,-10.6,-7.75,10
39,19,5.6,-41.5,0
40,19,0.2,2.25,14
41,19,3.2,12,8
42,19.6,3.2,15.5,0
43,20,0.2,2.25,15
44,21.2,0.2,2.25,15
45,20.8,3.2,10.5,0
46,22.4,0.2,3.25,15
47,23.4,0.2,4,15
48,24.4,0.2,3,15
49,25.4,0.2,2.75,14
50,27.2,0.2,2.5,5
51,27,-10.6,-4,13
52,28.2,0.2,2,15
53,33.2,-10.4,22.5,14
54,34.4,4.6,-13.75,13
55,39.6,0.4,0.5,12
56,40.2,0.4,1.75,12
57,43.6,1,12.75,14
58,49,1,-4,14
59,49.6,1,-4,14
60,54.4,-10.8,9,12
61,53.2,1,-3.25,13
62,54.8,1,-4.5,14
63,56,-9,37.5,8
64,56.4,-10.8,9.5,14
65,56.2,1,-4,9
66,60.2,3.8,-10.75,14
67,77.2,-0.2,2.75,11
68,78.6,-0.2,3.75,12
69,80,-0.2,4.5,12
70,85,6,-8.75,12
71,104.2,-10.4,20.25,10
END,Total:72,,,
START,FrameNb:5427,,,
2020/08/09 14:15:58:672,,,,
1.60E+12,,,,
0,12.8,-10.6,-13,16
1,12.8,-10.6,-5.5,15
2,19.6,0,0,20
3,22.2,0,0.5,20
4,22.2,0,5.75,18
5,26.4,-10.8,-6.75,14
6,26.4,-10.8,-1,12
7,28.2,0,1,20
8,28.2,0,9,18
9,39.2,0.2,-0.25,18
10,39.2,0.2,6.25,17
11,43.4,1,10.75,21
12,48.6,1,-6.75,19
13,48.6,1,1,17
14,50.4,-10.8,-4.5,12
15,50.4,-10.8,3,11
16,52,1,-6,15
17,54.6,1,-4.5,7
18,54.6,1,1,5
19,55.6,-10.8,7.5,20
20,55.6,-10.8,15.25,18
21,60.6,3.8,-10,12
22,61.6,-10.8,7.75,8
23,63.2,-0.2,1.25,10
24,76,-10.8,8.25,15
25,76.8,-0.2,2.5,10
26,78.6,-10.8,7.5,11
27,80.2,-0.4,4.75,17
28,85.2,5.8,-8.25,14
29,87.2,-10.8,7.75,12
30,91.2,5,8.75,8
31,100.6,1.4,-2,9
32,106.8,-10.4,17.75,13
33,107.4,11.4,0.75,8
34,114.4,-10.4,17.75,13
35,117,1.8,0.75,10
36,118.6,2,-1.25,13
37,156.4,-10.6,12.75,11
38,195.6,-10.8,9.75,17
39,1024,5.6,-41.5,0
40,13.8,-10.6,-8,11
41,17.6,-10.6,-7,13
42,19.2,3.2,12.5,12
43,19.4,0.2,2.25,15
44,19.8,3.2,15,0
45,20.8,0.2,2.25,15
46,21.6,0.2,1.75,13
47,22.2,0.2,2.75,15
48,22.8,0.2,3.25,15
49,23.4,0.2,2,15
50,24.4,0.2,2,15
51,26.2,0.2,3,11
52,26.4,-10.8,-4.75,13
53,27.6,0.2,2,14
54,29.2,0.2,3,13
55,32.6,-10.2,22.75,14
56,39.6,0.2,1.25,12
57,43.8,1,12.75,14
58,49.2,1,-4.25,15
59,50.2,-10.8,-2,12
60,50.8,1,-3.75,10
61,53.6,-10.8,9.25,12
62,54.4,1,-3.5,12
63,55.2,1,-4.25,14
64,55.4,-9,38.5,10
65,55.8,-10.8,9.5,14
66,60.6,-10.4,20,11
67,60.4,4,-10,11
68,76.6,-0.2,2,10
69,78.6,-0.4,4,12
70,80,-0.4,5,12
71,85.4,6,-9,11
72,95.8,-10.4,18,12
73,103,-10.4,19,13
END,Total:74,,,
START,FrameNb:5428,,,
2020/08/09 14:15:58:735,,,,
1.60E+12,,,,
0,12.8,-10.6,-13,16
1,12.8,-10.6,-5.5,15
2,19.6,0,0,20
3,22.2,0,0.5,20
4,22.2,0,5.75,18
5,26.4,-10.8,-6.75,14
6,26.4,-10.8,-1,12
7,28.2,0,1,20
8,28.2,0,9,18
9,35,-10.8,-5.75,18
10,35,-10.8,1.75,17
11,39.2,0.2,-0.25,18
12,39.2,0.2,6.25,17
13,42.8,-10.8,-4.25,10
14,42.8,-10.8,4.5,8
15,43.4,0.8,10.75,21
16,48.6,1,-6.75,19
17,48.6,1,1,17
18,50.4,-10.8,-4.5,12
19,50.4,-10.8,3,11
20,52,1,-6,15
21,55.6,-10.8,7.5,20
22,55.6,-10.8,15.25,18
23,60.6,3.8,-9.75,15
24,61.6,-10.4,11,6
25,62.2,-0.2,-1.75,6
26,74.4,-10.8,7.75,14
27,76.8,-0.2,1.75,11
28,79.4,-10.8,7,11
29,80.2,-0.4,5.25,15
30,86.2,5.8,-9.25,11
31,91.2,5,-1.25,11
32,98.2,-10.4,20,11
33,106.8,-10.4,18.5,12
34,112.8,-10.4,16.75,16
35,115.4,-10.4,16.75,15
36,120.4,2,-0.25,18
37,194.8,-10.8,9.25,15
38,1024,-10.8,9.75,17
39,13.6,-10.6,-9,13
40,15.4,-10.6,-6,11
41,16.6,-10.6,-6.25,11
42,19.4,0.2,2.75,16
43,19.4,3.2,12.75,2
44,20.6,0.2,1.75,15
45,19.8,3.2,14.75,0
46,22,0.2,1.5,15
47,22.8,0.2,2,15
48,23.4,0.2,2.75,15
49,24,0.2,1.5,14
50,25.8,-10.8,-4.75,13
51,26.6,0.2,2.5,15
52,28,0.2,2.5,14
53,29,0.2,2.5,11
54,32,-10.2,23.25,15
55,34.4,-11,-3,13
56,39.6,0.2,1.75,13
57,41.4,-1.4,6.5,9
58,42,-11,-1,13
59,43.8,1,12.75,15
60,49.2,1,-4.5,13
61,49.6,-11,-2,7
62,50.8,1,-4,10
63,53.2,1,-3.75,12
64,52.8,-10.8,9,12
65,54.8,1,-3,10
66,54.8,-8.8,39,10
67,55.2,-10.8,9.5,10
68,60,-10.4,19.5,13
69,60.6,4,-10,13
70,76.6,-0.2,2,10
71,78.6,-0.4,4.25,14
72,80,-0.4,5.25,11
73,85.6,6,-9,14
74,95.8,-10.4,19.25,13
75,99.6,-10.4,19,12
76,102.4,-10.4,18,12
77,103.2,-10.4,19,11
78,104.6,-10.4,18.25,12
79,106.6,-10.4,17.5,9
END,Total:80,,,
START,FrameNb:5429,,,
2020/08/09 14:15:58:794,,,,
1.60E+12,,,,
0,14.6,-10.6,-10.25,20
1,18,-10.8,-6.75,9
2,19.6,0,-0.5,21
3,19.6,0,7,19
4,24.8,-10.8,-8,14
5,24.8,-10.8,-0.5,13
6,28.2,0,0.25,19
7,34.2,-10.8,-6,18
8,34.2,-10.8,2.75,15
9,35,4.6,-15.5,16
10,39.2,0.2,0,20
11,39.2,0.2,7,19
12,41,-10.8,-4,14
13,41,-10.8,1,12
14,44.4,0.8,11.5,18
15,49.4,1,-6.75,20
16,49.4,1,-1,18
17,52,1,-6.75,9
18,52,1,1,8
19,52.2,-10.8,8,18
20,60.6,3.8,-9.75,15
21,61.6,-10.4,11,6
22,62.2,-0.2,-1.75,6
23,74.4,-10.8,7.75,14
24,76.8,-0.2,1.75,11
25,79.4,-10.8,7,11
26,91.2,5,-1.25,11
27,94.8,-10.4,17.75,10
28,98.2,-10.4,20,11
29,102.6,-10.4,19,11
30,106.8,-10.4,18.5,12
31,109.4,-10.4,17.25,14
32,112.8,-10.6,16.75,16
33,114.4,-11.6,7.5,8
34,120.4,2,-0.25,18
35,194.8,-10.8,9.25,15
36,1024,2,-0.25,18
37,13,-10.6,-10.25,14
38,14.4,-10.6,-6.75,14
39,15.4,-10.6,-6.25,13
40,16.4,-10.6,-8,15
41,19,0.2,2.25,16
42,19.8,0.2,1.25,16
43,19.6,5.8,-36,0
44,19.8,3.4,14.5,0
45,21.2,0.2,1.25,15
46,22.2,0.2,0.75,15
47,21,3.4,12.75,6
48,23,0.2,1.75,15
49,23.8,0.2,2.75,16
50,25.2,-10.8,-4.5,13
51,26.8,0.2,1.75,12
52,27.4,0.2,2.5,12
53,28.4,0.2,2.5,15
54,31.4,-10.2,23.75,14
55,33.8,-11,-3,15
56,35.2,4.6,-13,14
57,39.4,0.2,1.75,12
58,40.8,-11,-1.75,10
59,41.4,-1.4,6.5,12
60,42,-1.4,6.25,11
61,43.8,1,12.75,13
62,48.6,-11,-2,11
63,49.2,1,-4.25,15
64,52.2,-10.8,9,13
65,52.8,1,-3.75,9
66,54.4,-10.8,10,11
67,54.6,1,-3.25,15
68,55.6,1,-6,13
69,61,4,-12,10
70,76.6,-0.2,2.25,10
71,78.4,-0.4,3.75,11
72,79.4,-0.4,4.25,10
73,86,6,-9,14
74,92,-10.4,21.75,11
75,95,-10.4,20,13
76,99.8,-10.4,19.25,12
77,101,-10.4,18.25,11
78,102.2,-10.4,18.25,13
79,103,-10.4,19.5,12
80,104.8,-10.4,17.75,11
END,Total:81,,,
START,FrameNb:5430,,,
2020/08/09 14:15:58:857,,,,
1.60E+12,,,,
0,14.6,-10.6,-10.25,20
1,18,-10.8,-6.75,9
2,19.6,0,-0.5,21
3,19.6,0,7,19
4,19.6,3.4,10.25,5
5,24.8,-10.8,-8,14
6,24.8,-10.8,-0.5,13
7,28.2,0,0.25,19
8,34.2,-10.8,-6,18
9,34.2,-10.8,2.75,15
10,39.2,0.2,0,20
11,39.2,0.2,7,19
12,41,-10.8,-4,14
13,41,-10.8,1,12
14,44.4,1,11.5,18
