START,FrameNb:5000,,,
START,FrameNb:5005,,,
2020/08/09 14:15:33:109,,,,
1.60E+12,,,,
0,32.4,-11.2,-5.5,19
1,32.4,-11.2,2.25,18
2,35.8,-11.2,-5.5,20
3,35.8,-11.2,2.25,18
4,39.2,0.2,1,20
5,39.2,0.2,8.5,18
6,40.2,-11.2,-2.75,1
7,40.2,-11.2,4,0
8,42.8,-11.2,-4.75,16
9,42.8,-11.2,0.75,14
10,46.8,0.6,-11.5,19
11,46.8,0.6,-3.5,18
12,64,4,-6.5,13
13,64,-11.2,0.75,15
14,69,1.6,5.25,12
15,70,4,-3,14
16,71,-11.2,-5.25,5
17,72.6,-11.2,8.75,7
18,73.4,0.6,-4.75,16
19,80.4,-11.2,7.5,17
20,84.6,-11.2,9.75,15
21,89.8,-11.2,12.25,6
22,97.4,-11.2,5.75,17
23,100,-11.2,6,14
24,110.2,0.8,3.75,16
25,111.8,0.8,0,16
26,120.4,-11.2,0.25,13
27,147.6,1.4,5.25,16
28,169.2,-11.2,-9.75,5
29,195.6,-11.2,5.75,11
30,1024,-11.2,6,14
31,11.8,-11.2,-8.25,12
32,14.8,1,16,15
33,16,1,18.25,14
34,16.6,1,18.25,14
35,17.4,1,17.5,14
36,22,-9.6,32.75,13
37,26.6,-10.2,28,14
38,32,-11.2,-3,14
39,35.2,-9.2,39,12
40,35.6,-11.2,-3,14
41,39,0.4,3.25,14
42,40.2,-11.2,-1,6
43,40,0.2,6.75,12
44,41.6,-11.2,-3,13
45,41.2,6,-16.25,11
46,47.2,0.6,-8.5,12
47,60.2,9,-13.25,12
48,62.6,-11.4,0,10
49,63.8,4,-3,13
50,68,4,-2,10
51,69.4,1.6,-2,11
52,69.8,4,-3,11
53,70.4,1.6,2.25,12
54,72.4,0.6,-5.25,13
55,73.6,0.6,-5,14
56,85.6,6.8,-6.25,11
END,Total:57,,,
START,FrameNb:5006,,,
2020/08/09 14:15:33:168,,,,
1.60E+12,,,,
0,15.4,-11.2,-9.5,8
1,15.4,-11.2,-1.5,6
2,32.4,-11.2,-5.5,19
3,32.4,-11.2,2.25,18
4,35.8,-11.2,-5.5,20
5,35.8,-11.2,2.25,18
6,39.2,0.2,1,20
7,39.2,0.2,8.5,18
8,40.2,-11.2,-2.75,1
9,40.2,-11.2,4,0
10,46.8,0.6,-11.5,19
11,46.8,0.6,-3.5,18
12,60.4,9,-13.25,14
13,62.4,-11.2,4.75,14
14,64.8,4,13.75,14
15,69,1.6,3.75,16
16,70,4,-1.25,13
17,70,-11.2,3.5,8
18,71.6,0.6,-4.25,14
19,74.4,-11.2,10.5,11
20,76.8,-11.2,9.25,12
21,80.4,-11.2,1.75,16
22,88.8,-11.2,5.75,11
23,95.6,-11.2,7.5,13
24,98.2,-11.2,7,14
25,110,0.8,4.75,14
26,111.8,0.8,0.75,16
27,112,-11.2,0.25,4
28,118.8,-11.2,-0.25,12
29,146,-11.2,7,8
30,147.6,1.4,5.25,12
31,169.2,-11.2,5.25,9
32,194,-11.2,3,10
33,1024,1,18.25,14
34,11.6,-11.2,-8,10
35,13,-11.2,-7,13
36,15,1,16,14
37,16,1,18.5,12
38,16.6,1,18.5,14
39,17.2,1,17.75,13
40,18,1,16.5,14
41,21,-9.6,35.25,15
42,26,-10,29,13
43,31.4,-11.2,-2,13
44,35,-11.2,-3.75,11
45,39.2,0.4,2.5,15
46,39.6,-11.2,-2,0
47,40.2,-11.2,-0.75,8
48,40,0.2,5.75,14
49,41.6,6,-16,10
50,44.6,-10.6,21.5,14
51,47.4,0.6,-9.25,12
52,49.8,-10.6,22.75,11
53,60.8,9,-13,14
54,62,-11.4,0.25,13
55,63.8,4,-3,11
56,65.6,4,-4.5,9
57,69.6,1.6,-0.5,14
58,70,4,-3,10
59,71.6,0.6,-6,12
60,73.2,0.6,-5.25,14
61,80,-11.2,1,14
END,Total:62,,,
START,FrameNb:5007,,,
2020/08/09 14:15:33:220,,,,
1.60E+12,,,,
0,10.2,-11,-11,21
1,10.2,-11,-3.25,19
2,12.8,-11.2,-9,20
3,12.8,-11.2,-1,18
